"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","4/414","38/9399",0.105263157894737,2.38977879481312,1.84261756499259,0.0844780759565838,0.513413522524773,0.473973989453972,"23408/4837/23057/5169",4
"Cellular Processes","Cell motility","hsa04814","Motor proteins","13/414","194/9399",0.0670103092783505,1.52132825339907,1.57492211320487,0.0866822282065091,0.513413522524773,0.473973989453972,"4430/55605/92558/4646/55582/124602/55083/196385/1780/1768/64446/7134/126820",13
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","6/414","70/9399",0.0857142857142857,1.94596273291925,1.7051569164276,0.0871630744370045,0.513413522524773,0.473973989453972,"1604/959/3908/940/6444/3118",6
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","5/414","54/9399",0.0925925925925926,2.10212023617821,1.74339202029495,0.0880612190738284,0.513413522524773,0.473973989453972,"959/940/356/3565/3118",5
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","7/414","89/9399",0.0786516853932584,1.78562123432666,1.59842486344061,0.0968179223870369,0.554013666992489,0.511455301498772,"1604/11326/5627/629/717/722/732",7
"Organismal Systems","Digestive system","hsa04976","Bile secretion","7/414","90/9399",0.0777777777777778,1.76578099838969,1.56687075817207,0.101248095940339,0.568830211737538,0.52513366506855,"200931/6513/358/478/112/8671/10720",7
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","15/414","239/9399",0.0627615062761506,1.42486810987812,1.42811834673522,0.106052936652858,0.585184954030949,0.540232064528656,"6347/7098/5335/51284/4939/4940/1636/8829/629/717/64135/4599/9636/732/3627",15
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","4/414","42/9399",0.0952380952380952,2.16218081435473,1.62027556417376,0.112064304188091,0.607506491124913,0.560838899999494,"4128/259307/3620/4129",4
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","5/414","59/9399",0.0847457627118644,1.92397445345124,1.52816898663053,0.117247978224308,0.62464871157433,0.576664284914473,"51099/8660/112/2167/153",5
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","7/414","94/9399",0.074468085106383,1.69064138143694,1.44449879814508,0.12004744054302,0.628723036064294,0.580425626889537,"6347/6279/4318/3934/6364/3565/3627",7
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","11/414","168/9399",0.0654761904761905,1.48649930986888,1.36575042423961,0.122463416035172,0.630686592581137,0.582238346412836,"9063/596/3560/5159/3976/3590/5618/5008/133396/3565/5617",11
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","3/414","29/9399",0.103448275862069,2.34857571214393,1.56121741631799,0.133643717261156,0.672995697590055,0.621297339624953,"7005/10413/79633",3
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","4/414","45/9399",0.0888888888888889,2.01803542673108,1.46936373054425,0.135034735438781,0.672995697590055,0.621297339624953,"85320/225/154664/1672",4
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","5/414","63/9399",0.0793650793650794,1.80181734529561,1.37064236194763,0.14347232549214,0.692702321516737,0.639490135006083,"3248/247/874/246/8529",5
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","5/414","63/9399",0.0793650793650794,1.80181734529561,1.37064236194763,0.14347232549214,0.692702321516737,0.639490135006083,"1647/5727/6932/650/7476",5
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","19/414","333/9399",0.0570570570570571,1.29536057796927,1.17794669706639,0.148872710983707,0.702230144265557,0.648286046996989,"7098/5159/122011/2335/5521/3908/1298/356/6932/3680/3679/1292/3674/4599/1291/9636/1282/7476/57801",19
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","10/414","156/9399",0.0641025641025641,1.45531400966184,1.23090826066683,0.150200025186849,0.702230144265557,0.648286046996989,"7098/5521/356/4939/4940/4599/439996/3434/3627/91543",10
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","6/414","82/9399",0.0731707317073171,1.66118769883351,1.29078079088728,0.152263494064053,0.702230144265557,0.648286046996989,"8302/925/926/3823/927/3118",6
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","9/414","138/9399",0.0652173913043478,1.48062381852552,1.22088495189757,0.154796156716521,0.703411947432426,0.649377066101813,"6347/4773/5335/3932/2335/7535/925/926/927",9
NA,NA,"hsa04382","Cornified envelope formation","13/414","217/9399",0.0599078341013825,1.36008147999733,1.15191612525564,0.161265411565598,0.722188582228548,0.666711312498506,"51099/7357/6283/5318/6279/5521/1308/3852/6785/3728/1282/126410/1832",13
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","14/414","238/9399",0.0588235294117647,1.33546462063086,1.12518157447625,0.165758553444402,0.731705614490289,0.675497262908767,"10125/2790/1942/2322/2114/5335/7074/5159/2323/7535/5924/356/2263/2254",14
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","17/414","300/9399",0.0566666666666667,1.28649758454106,1.08253914564663,0.17201606414966,0.745829372977978,0.6885360588555,"1647/9254/10125/8569/3554/1942/2322/5159/2323/5924/356/3556/374/2263/3164/2254/59285",17
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","5/414","68/9399",0.0735294117647059,1.66933077578858,1.18902231716715,0.179420190255599,0.745829372977978,0.6885360588555,"7704/2322/6932/4353/3728",5
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","6/414","87/9399",0.0689655172413793,1.56571714142929,1.13787965142969,0.184370874632803,0.745829372977978,0.6885360588555,"444/9254/6546/478/59285/7134",6
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","12/414","203/9399",0.0591133004926108,1.34204326408224,1.05751961154086,0.184650565457459,0.745829372977978,0.6885360588555,"596/5159/2335/3908/1298/83660/3680/3679/1292/3674/1291/1282",12
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","5/414","69/9399",0.072463768115942,1.64513757613947,1.15450259082813,0.186985319484051,0.745829372977978,0.6885360588555,"5335/241/2206/2205/3565",5
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","5/414","69/9399",0.072463768115942,1.64513757613947,1.15450259082813,0.186985319484051,0.745829372977978,0.6885360588555,"358/112/3778/1636/153",5
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","5/414","69/9399",0.072463768115942,1.64513757613947,1.15450259082813,0.186985319484051,0.745829372977978,0.6885360588555,"4128/814/4129/6570/84152",5
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","11/414","184/9399",0.0597826086956522,1.35723850031506,1.05045716929214,0.188267608712888,0.745829372977978,0.6885360588555,"4773/1942/5727/4756/5335/10501/57522/2048/59277/8829/64221",11
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","12/414","205/9399",0.0585365853658537,1.32895015906681,1.02214764351912,0.193299017347228,0.756068308358146,0.697988457043289,"1647/917/8819/596/916/915/919/4939/4940/9636/3627/3118",12
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","10/414","166/9399",0.0602409638554217,1.36764449100751,1.02581616638893,0.196527809110339,0.759088662688684,0.700776793011866,"8660/4773/5138/6546/478/112/5581/3778/1910/153",10
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","8/414","128/9399",0.0625,1.41893115942029,1.02433782087244,0.202635132207706,0.761292370521087,0.70281121584471,"11164/131870/5152/5138/112/5149/26289/5169",8
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","4/414","53/9399",0.0754716981132075,1.71342630571507,1.11797737697961,0.20413117121049,0.761292370521087,0.70281121584471,"6546/478/112/9365",4
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","7/414","109/9399",0.0642201834862385,1.457984310597,1.03232119133723,0.204489536418285,0.761292370521087,0.70281121584471,"6513/8660/5836/9882/5581/11001/10891",7
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","4/414","54/9399",0.0740740740740741,1.68169618894257,1.07834304920228,0.213416767381422,0.785068822867375,0.724761202510846,"586/875/259307/1036",4
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","3/414","37/9399",0.0810810810810811,1.84077555816686,1.09990574849885,0.221891358638513,0.802781277104443,0.741113016846548,"4128/259307/4129",3
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","6/414","93/9399",0.0645161290322581,1.46470313230482,0.96670596899969,0.226025796466299,0.802781277104443,0.741113016846548,"478/112/3778/820/153/4025",6
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","6/414","93/9399",0.0645161290322581,1.46470313230482,0.96670596899969,0.226025796466299,0.802781277104443,0.741113016846548,"1647/596/2335/3908/3674/1282",6
"Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","2/414","21/9399",0.0952380952380952,2.16218081435473,1.14442433759552,0.235930057156926,0.828436223426024,0.7647971948508,"55790/55454",2
